dma_code,baseline_month,current_avg_mnf,baseline_avg_mnf,mnf_delta_pct,mnf_delta_abs,mnf_color,current_avg_daily_total,baseline_avg_daily_total,inflow_delta_pct,inflow_delta_abs,inflow_color,n_valid_days_current,n_valid_days_baseline,current_window_start,current_window_end,generated_at
DM-01-04-01-02,2025-09,53.582,0.01,535720.0,53.57,red,312.63,0.29,107703.45,312.34,red,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-04-02-01,2025-09,139.035,151.19,-8.04,-12.16,green,4767.56,5735.67,-16.88,-968.11,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-04-03-01,2025-09,0.015,0.047,-68.09,-0.03,green,0.67,1.96,-65.82,-1.29,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-04-03-02,2025-09,1.951,2.218,-12.04,-0.27,green,194.29,72.22,169.03,122.07,red,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-04-03-03,2025-09,30.264,22.335,35.5,7.93,red,1559.84,1203.83,29.57,356.01,red,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-04-04-01,2025-09,0.0,0.0,,,gray,0.0,0.0,,,gray,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-04-04-02,2025-09,36.029,45.821,-21.37,-9.79,green,1486.37,1404.08,5.86,82.29,yellow,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-04-05-01,2025-09,66.084,99.443,-33.55,-33.36,green,3851.84,3692.67,4.31,159.17,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-04-05-02,2025-09,97.519,140.118,-30.4,-42.6,green,6252.36,5360.6,16.64,891.76,yellow,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-04-06-01,2025-09,257.132,223.182,15.21,33.95,yellow,9602.23,9311.83,3.12,290.4,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-04-06-02,2025-09,55.854,13.068,327.41,42.79,red,1279.45,580.29,120.48,699.16,red,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-04-07-01,2025-09,34.434,136.193,-74.72,-101.76,green,5207.15,5699.37,-8.64,-492.22,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-05-01-01,2025-09,122.451,109.734,11.59,12.72,yellow,5226.96,4593.43,13.79,633.53,yellow,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-05-01-02,2025-09,103.95,91.071,14.14,12.88,yellow,4781.34,3753.95,27.37,1027.39,red,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-05-02-01,2025-09,78.728,92.64,-15.02,-13.91,green,3832.25,3908.93,-1.96,-76.68,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-05-03-01,2025-09,102.885,99.054,3.87,3.83,green,4427.01,4037.71,9.64,389.3,yellow,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-05-03-02,2025-09,48.103,72.759,-33.89,-24.66,green,2426.13,3115.85,-22.14,-689.72,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-05-04-01,2025-09,77.271,113.972,-32.2,-36.7,green,3556.14,4825.44,-26.3,-1269.3,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-05-04-02,2025-09,60.394,63.531,-4.94,-3.14,green,2668.02,2901.94,-8.06,-233.92,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-05-04-03,2025-09,65.559,0.303,21536.63,65.26,red,2655.12,36.06,7263.06,2619.06,red,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-06-01-01,2025-09,66.748,84.643,-21.14,-17.89,green,3117.65,3530.72,-11.7,-413.07,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-06-01-02,2025-09,21.633,17.47,23.83,4.16,red,1313.99,878.45,49.58,435.54,red,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-06-02-01,2025-09,12.461,68.64,-81.85,-56.18,green,244.29,1137.97,-78.53,-893.68,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-06-02-02,2025-09,127.315,80.011,59.12,47.3,red,5116.05,3136.18,63.13,1979.87,red,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-06-02-04,2025-09,2.332,66.995,-96.52,-64.66,green,451.62,2890.48,-84.38,-2438.86,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-06-02-05,2025-09,0.0,0.0,,,gray,0.0,0.0,,,gray,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-06-03-01,2025-09,0.0,127.952,-100.0,-127.95,green,6.13,4935.31,-99.88,-4929.18,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-06-03-02,2025-09,35.916,51.611,-30.41,-15.7,green,2311.42,1769.7,30.61,541.72,red,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-06-04-01,2025-09,108.396,94.471,14.74,13.92,yellow,5444.53,4733.54,15.02,710.99,yellow,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-06-04-02,2025-09,132.927,133.021,-0.07,-0.09,green,6305.21,5674.46,11.12,630.75,yellow,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-06-05-01,2025-09,89.301,48.194,85.29,41.11,red,4152.06,2191.5,89.46,1960.56,red,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
